Year,MilitaryPersonnel_051-1C ,OperationsMaintenance_051-2C,Procurement_051-3C ,ReaserchDevelopment_051-4C ,MilitaryConstruction_051-5C,Family Housing_051-6C ,Other_051-7C ,MilitarySubtotal_051C,AECSpending_053C ,DefenseOther_054C,NationalDefenseTotal_050C,PercentGrowth,CPI,InflationRate,Presidency,Division,House,Senate,President
1962,146062.7393,103695.5116,129972.6733,56516.46865,12047.42574,2316.468647,-2423.79538,448187.4917,18549.63696,1431.023102,468168.1518,0,30.3,0.012,Democrat ,Unified,Democrats,Democrats,Kennedy
1963,143966.5359,105158.6275,147296.4706,56467.18954,10131.50327,4986.045752,-15020.13072,452968.5294,18075.52288,1877.51634,472921.5686,1,30.6,0.012,Democrat ,Unified,Democrats,Democrats,Kennedy / L. Johnson
1964,152302,104308.7742,134197.4516,61377.12903,8969.225806,4808.064516,-6267.967742,459694.6774,16627.16129,2360.322581,478682.1613,1,31,0.013,Democrat ,Unified,Democrats,Democrats,Kennedy / L. Johnson
1965,154108.6667,106240.6032,101852.9841,53649.39683,8663.396825,4843.587302,-9695.777778,419662.8571,13937.14286,1892.698413,435492.6984,-9,31.5,0.016,Democrat ,Unified,Democrats,Democrats,L. Johnson
1966,166844.2769,122658.7692,119565.2,52190.43077,11123.50769,4744.584615,-4919.692308,472198.7385,12224.18462,133.4153846,484556.3385,11,32.5,0.03,Democrat ,Unified,Democrats,Democrats,L. Johnson
1967,186227.3054,154161.6766,154259.0419,58094.61078,12462.75449,3935.179641,-616.6467066,568523.9222,10361.28743,576.0778443,579461.2874,20,33.4,0.028,Democrat ,Unified,Democrats,Democrats,L. Johnson
1968,195602.8161,160248.2184,181313.0172,60328.64943,9975.603448,3854.741379,14429.97126,625753.0172,10403.90805,1830.028736,637986.954,10,34.8,0.043,Democrat ,Unified,Democrats,Democrats,L. Johnson
1969,198738.2561,164128.5286,177132.0981,55063.95095,10256.6485,4238.52861,-13121.71662,596428.9101,10256.6485,2488.474114,609174.0327,-5,36.7,0.055,Republican ,Divided,Democrats,Democrats,Nixon
1970,202775.0515,150928.8402,150754.2268,50051.18557,8157.938144,4288.505155,-7333.762887,559621.9845,9883.118557,1075.618557,570580.7216,-6,38.8,0.058,Republican ,Divided,Democrats,Democrats,Nixon
1971,194578,140123.7284,126185.6296,48866.98765,7327.037037,4001.432099,-2515.950617,518560.1728,9267.530864,-66.91358025,527760.7901,-8,40.5,0.043,Republican ,Divided,Democrats,Democrats,Nixon
