Year,Personnel,Operation_Maintenance,Procurement,R_D,Construction,Housing,AEC,Defense-related
1962,16331,11594,14532,6319,1347,259,2074,160
1963,16256,11874,16632,6376,1144,563,2041,212
1964,17422,11932,15351,7021,1026,550,1902,270
1965,17913,12349,11839,6236,1007,563,1620,220
1966,20009,14710,14339,6259,1334,569,1466,16
1967,22952,19000,19012,7160,1536,485,1277,71
1968,25118,20578,23283,7747,1281,495,1336,235
1969,26914,22227,23988,7457,1389,574,1389,337
1970,29032,21609,21584,7166,1168,614,1415,154
1971,29079,20941,18858,7303,1095,598,1385,-10
1972,29571,21675,17131,7881,1108,688,1373,156
1973,29773,21069,15654,8157,1119,729,1409,240
1974,30409,22478,15241,8582,1407,884,1486,-3
1975,32162,26297,16042,8866,1462,1124,1506,151
1976,32546,27837,15964,8923,2019,1192,1565,137
1977,33672,30587,18178,9795,1914,1358,1936,158
1978,35553,33580,19976,10508,1932,1405,2070,166
1979,37345,36440,25404,11152,2080,1468,2541,196
1980,40897,44788,29021,13127,2450,1680,2878,206
1981,47941,51878,35191,15278,2458,1721,3398,253
1982,55170,59673,43271,17729,2922,1993,4309,307
1983,60886,64881,53624,20552,3524,2126,5171,375
1984,64158,67329,61879,23113,3705,2413,6120,428
1985,67842,72336,70381,27099,4260,2642,7098,535
1986,71511,75255,76517,32279,5067,2819,7445,487
1987,72020,76167,80743,33592,5853,2908,7451,626
1988,76337,84436,77164,34788,5874,3082,7913,557
1989,80676,86960,81619,36997,5275,3257,8119,606
1990,75622,88294,80972,37454,5080,3501,8988,639
1991,83439,101715,82028,34585,3497,3296,9998,964
1992,81171,91939,74880,34628,4262,3271,10613,899
1993,75904,94036,69935,36964,4831,3255,11011,1577
1994,73137,87868,61768,34759,4979,3316,11884,1202
1995,70809,91017,54981,34590,6823,3571,11769,921
1996,66669,88711,48913,36490,6683,3828,11637,981
1997,69724,92408,47690,37011,6187,4003,11267,984
1998,68976,93412,48206,37416,6044,3871,11262,1139
1999,69503,96344,48826,37359,5521,3692,12221,1350
2000,75950,105812,51696,37602,5109,3413,12138,1196
2001,73977,111964,54986,40455,4977,3516,12931,1616
2002,86799,130005,62515,44389,5052,3736,14795,1816
2003,106744,151408,67926,53098,5851,3784,16018,1579
2004,113576,174045,76216,60759,6312,3905,16605,2769
2005,127463,188118,82294,65694,5331,3720,18031,3192
2006,127543,203789,89757,68629,6245,3717,17465,5058
2007,127544,216631,99647,73136,7899,3473,17042,5668
2008,138940,244836,117398,75120,11563,3590,17122,4312
2009,147348,259312,129218,79030,17614,2721,17546,6724
2010,155690,275988,133603,76990,21169,3173,19308,7474
2011,161608,291038,128003,74871,19917,3432,20410,7080
2012,152266,282297,124712,70396,14553,2331,19246,7755
2013,150825,259662,114912,66892,12318,1829,17634,8017
2014,148923,244481,107485,64928,9823,1354,17416,8144
2015,145206,247239,101342,64124,8132,1198,18692,8468
2016,147905,243198,102656,64873,6677,1304,19387,8615
2017,144701,245184,104127,68127,6671,1207,20482,9344
2018,145827,256657,112669,76976,6706,1155,20919,9528
2019,156267,271699,124699,89280,7412,1166,22767,9250
2020,161416,278865,139055,99875,8882,1293,24479,9746
2021,172580,286184,141440,105663,9146,1450,25800,10520
2022,180774,291269,136176,107059,9726,1423,28291,10900
