Year,Personnel,Operation_Maintenance,Procurement,R_D,Construction,Housing,AEC,Defense-related
1962,146062.7393,103695.5116,129972.6733,56516.46865,12047.42574,2316.468647,18549.63696,1431.023102
1963,143966.5359,105158.6275,147296.4706,56467.18954,10131.50327,4986.045752,18075.52288,1877.51634
1964,152302,104308.7742,134197.4516,61377.12903,8969.225806,4808.064516,16627.16129,2360.322581
1965,154108.6667,106240.6032,101852.9841,53649.39683,8663.396825,4843.587302,13937.14286,1892.698413
1966,166844.2769,122658.7692,119565.2,52190.43077,11123.50769,4744.584615,12224.18462,133.4153846
1967,186227.3054,154161.6766,154259.0419,58094.61078,12462.75449,3935.179641,10361.28743,576.0778443
1968,195602.8161,160248.2184,181313.0172,60328.64943,9975.603448,3854.741379,10403.90805,1830.028736
1969,198738.2561,164128.5286,177132.0981,55063.95095,10256.6485,4238.52861,10256.6485,2488.474114
1970,202775.0515,150928.8402,150754.2268,50051.18557,8157.938144,4288.505155,9883.118557,1075.618557
1971,194578,140123.7284,126185.6296,48866.98765,7327.037037,4001.432099,9267.530864,-66.91358025
1972,191716.2919,140524.5215,111064.6172,51094.52153,7183.444976,4460.478469,8901.507177,1011.38756
1973,181722.5901,128596.8243,95545.81081,49787.09459,6829.932432,4449.527027,8599.977477,1464.864865
1974,167156.9777,123560.6085,83779.12779,47174.88844,7734.219067,4859.310345,8168.478702,-16.49087221
1975,162005.6134,132462.5836,80806.35688,44659.59108,7364.349442,5661.784387,7585.98513,760.6133829
1976,155008.1898,132580.4394,76032.40773,42497.94376,9615.975395,5677.188049,7453.690685,652.4956063
1977,150579.4059,136783.4488,81291.05611,43802.72277,8559.306931,6072.90429,8657.689769,706.5676568
1978,147773.9724,139573.3129,83029.07975,43675.88957,8030.245399,5839.800613,8603.834356,689.9693252
1979,139400.7576,136022.5895,94827.60331,41627.98898,7764.187328,5479.724518,9485,731.6253444
1980,134503.483,147300.3398,95445.27913,43172.53641,8057.645631,5525.242718,9465.26699,677.5
1981,142926.4136,154663.7844,104914.8625,45548.27283,7328.030803,5130.814081,10130.45105,754.2684268
1982,154933.3679,167579.0984,121517.5233,49788.17617,8205.823834,5596.92228,12100.92228,862.1450777
